EQID,Mw,SoF,Dip,RJB,VS30,PGV_geo
256,4.2,S,85.0,13.59932339,483.0,0.488342848
95,4.3,S,89.0,68.72366367,273.0,0.1309797
505,4.2,R,90.0,169.0359351,629.0,0.023955113
355,4.2,S,85.0,58.62523894,468.0,0.03463487
328,4.4,N,44.0,101.8701044,214.0,0.052575307
207,4.0,S,56.0,49.07913503,205.0,0.045756015
212,4.1,S,80.0,77.14497264,393.0,0.016502353
258,4.2,N,33.0,83.8499862,219.0,0.155354538
574,4.2,S,60.0,111.9003562,324.0,0.015297169
602,4.1,N,25.0,135.9715087,304.0,0.012026109
274,3.7,S,39.0,88.9547782,567.0,0.010430209
89,4.0,S,57.0,79.1343133,171.0,0.019559652
616,4.3,S,84.0,80.98609571,361.0,0.11350976
395,4.2,N,35.0,154.5907539,599.0,0.023675117
566,4.1,S,66.0,54.36583288,313.0,0.033460907
497,4.2,S,74.0,92.28540151,314.0,0.00773842
446,3.9,S,57.0,57.21928803,660.0,0.021303127
203,3.9,N,87.0,119.4067118,514.0,0.035054285
437,3.8,N,43.0,71.14866689,459.0,0.01209639
248,3.9,S,37.0,78.42734925,270.0,0.022151707
408,4.2,N,59.0,83.27782992,1080.0,0.016283825
8897,3.8,S,70.0,146.0,875.0,0.009447829
344,4.0,N,42.0,39.14615683,836.0,0.081635938
554,4.0,S,62.0,133.7428064,484.0,0.004305808
202,4.3,S,77.0,106.7795134,247.0,0.042771387
229,4.0,N,41.0,144.6361689,341.0,0.013537024
718,4.1,N,55.0,92.76672862,948.0,0.010619399
277,4.2,S,67.0,140.7576476,238.0,0.030456457
203,3.9,N,87.0,39.64066092,403.0,0.183766446
463,4.1,S,73.0,38.73603964,415.0,0.142491697
296,4.3,S,78.0,139.8470199,422.0,0.041440952
426,3.9,S,73.0,115.8005648,304.0,0.008508469
9231,4.0,R,36.0,95.0,445.0,0.032179026
230,4.2,S,59.0,27.18595274,747.0,0.077656898
723,4.1,N,54.0,53.18898462,414.0,0.135285526
495,4.4,S,54.0,47.21562859,884.0,0.066058938
493,4.0,N,65.0,133.3067396,265.0,0.013681313
425,4.0,S,83.0,142.6114593,1141.0,0.004667897
339,3.8,S,87.0,84.51385363,519.0,0.030775139
703,4.0,N,55.0,64.52470741,630.0,0.015803655
392,4.1,N,37.0,155.4892801,131.0,0.012146293
8735,3.8,S,80.0,56.0,570.0,0.006526405
349,4.0,S,47.0,59.80473845,415.0,0.034425843
563,4.2,S,74.0,25.81605711,280.0,0.313018478
383,4.1,N,19.0,55.49666941,558.0,0.02606782
502,4.0,S,86.0,39.27552097,286.0,0.04624794
8897,3.8,S,70.0,136.0,570.0,0.010539263
316,4.1,S,44.0,155.3298694,709.0,0.01848578
8890,4.2,N,53.0,54.0,771.0,0.036544548
